1	1	1
2	1	2
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
8	1	8
9	1	9
10	1	10
11	1	11
12	1	12
13	1	13
14	1	14
15	1	15
16	1	16
17	2	2
18	2	3
19	2	4
20	2	5
21	2	6
22	2	7
23	2	8
24	2	9
25	2	10
26	2	11
27	2	12
28	2	13
29	2	14
30	2	15
31	2	16
32	3	3
33	3	4
34	3	5
35	3	6
36	3	7
37	3	8
38	3	9
39	3	10
40	3	11
41	3	12
42	3	13
43	3	14
44	3	15
45	3	16
46	4	4
47	4	5
48	4	6
49	4	7
50	4	8
51	4	9
52	4	10
53	4	11
54	4	12
55	4	13
56	4	14
57	4	15
58	4	16
59	5	5
60	5	6
61	5	7
62	5	8
63	5	9
64	5	10
65	5	11
66	5	12
67	5	13
68	5	14
69	5	15
70	5	16
71	6	6
72	6	7
73	6	8
74	6	9
75	6	10
76	6	11
77	6	12
78	6	13
79	6	14
80	6	15
81	6	16
82	7	7
83	7	8
84	7	9
85	7	10
86	7	11
87	7	12
88	7	13
89	7	14
90	7	15
91	7	16
92	8	8
93	8	9
94	8	10
95	8	11
96	8	12
97	8	13
98	8	14
99	8	15
100	8	16
101	9	9
102	9	10
103	9	11
104	9	12
105	9	13
106	9	14
107	9	15
108	9	16
109	10	10
110	10	11
111	10	12
112	10	13
113	10	14
114	10	15
115	10	16
116	11	11
117	11	12
118	11	13
119	11	14
120	11	15
121	11	16
122	12	12
123	12	13
124	12	14
125	12	15
126	12	16
127	13	13
128	13	14
129	13	15
130	13	16
131	14	14
132	14	15
133	14	16
134	15	15
135	15	16
136	16	16
