Folder,Davies-Bouldin Index,Calinski-Harabasz Index
1_1,1.439003854842168,2020289.0517214567
1_2,1.4220381339085348,808043.0325673115
1_3,1.3733367879103768,37743.62544163345
1_4,1.3158940090153481,295137.3683184976
1_5,1.4696358389285296,973140.3871605892
1_6,1.3585065141346626,67283.51725795843
1_7,1.273002088935602,958922.4998953512
1_8,1.3328413493140239,60282.43530686986
1_9,1.1496564874768649,167708.16976838798
1_10,1.36810939234986,500213.8923838085
1_11,1.3181537180004834,68248.17633174155
1_12,1.337132834323217,247430.85141071066
1_13,1.3473162806888286,105006.04923636012
1_14,1.2958140898765895,60427.63991137631
1_15,1.3622487441693207,458014.600393498
1_16,1.2924538942859294,457149.7269991402
1_17,1.3877545769369684,236029.36910718007
1_18,1.1061173879007322,52665.50183063623
1_19,1.2585515575140083,384518.9463569324
1_20,1.1690903411451048,33711.6688235211
1_21,1.3329617438017685,1443785.9649590268
1_22,1.231150625877063,477608.7098888328
1_23,1.1416574316221568,418203.4445168383
1_24,1.1652812448168852,141896.63908694265
1_25,1.1630300361348263,31827.41354923582
1_26,1.1135128950781878,184096.90054040076
2_2,1.3367737052998216,1213250.437397111
2_3,1.1502929777578716,10572.29551017206
2_4,1.214188312739297,201871.81749753747
2_5,1.3657904131203367,356275.47762953216
2_6,1.2982913322496688,24838.798436831163
2_7,1.133617232944275,463379.64663400257
2_8,1.0794981221663988,59703.166914014546
2_9,0.9698355172254807,79635.31285707664
2_10,1.2833503458064561,350932.3838083914
2_11,1.1108536818300414,24189.32710164235
2_12,1.1990351285972563,140949.88588543358
2_13,1.3314091591711534,177942.47459401304
2_14,1.2685556984109345,73654.67416039939
2_15,1.191694858666484,231823.9963333354
2_16,1.1976254630248402,566127.0376217348
2_17,1.3151357938864134,147374.23097835208
2_18,1.0442744106063366,33562.23248966311
2_19,1.1346166111616285,302560.8586402537
2_20,0.8934430106656432,16613.548324131807
2_21,1.2289020675449989,658428.6983183849
2_22,1.0551180407941598,266674.7564723973
2_23,1.0850519891220607,383168.92355313775
2_24,1.047235393480081,94331.21496352901
2_25,1.0117124448501322,23342.454600917048
2_26,1.1220564582250656,117062.27087114623
3_3,1.3221724061939386,1808714.2201363922
3_4,1.2210810080196033,1004209.1507685294
3_5,1.4151966177971378,149827.59208148954
3_6,1.3828801940874715,776121.4837701282
3_7,1.2308467379364616,719510.6827899759
3_8,1.2736460386183643,144110.24676312966
3_9,1.0204209629522383,16494.645960005582
3_10,1.244689598605294,37250.85195741749
3_11,1.280288968368416,392287.66026068595
3_12,1.3332213194044078,177968.35367810616
3_13,1.233046487208051,436493.97284825204
3_14,1.3233243505847596,75515.63403803941
3_15,1.2443121829098325,213447.8646364001
3_16,1.1593046858490357,85019.10273057515
3_17,1.4494346941274459,37812.82247938915
3_18,1.3007619925632907,108738.53304215289
3_19,1.3888050725801928,1129366.5535189358
3_20,1.2193202772464944,1132674.9629437074
3_21,1.3190585810976188,1795722.5505251507
3_22,1.407623251643367,1944658.5637963323
3_23,1.3625878728238248,1094981.0971576695
3_24,1.1233623741550456,22819.514004993624
3_25,1.1356850541900854,7912.455158776064
3_26,1.2818880122368428,1010788.7899921783
4_4,1.2355401963114867,4301763.208793809
4_5,1.2926560513965717,459945.0824612407
4_6,1.3187747491283424,865357.7925537868
4_7,1.1713382125275194,1666370.3472522632
4_8,1.289771653689691,107835.64598903795
4_9,1.0035323368917997,27687.32627323908
4_10,1.2035655608755542,108428.14815800147
4_11,1.3234790354683499,640629.6278651333
4_12,1.340008812815566,171822.46307665974
4_13,1.1569901383134462,338192.18416139163
4_14,1.2131593825623597,102416.54264571446
4_15,1.2576839785463794,440072.7124015323
4_16,1.0519440906395012,79977.97054258967
4_17,1.3977749161282456,757273.3783254272
4_18,1.2484393763624182,8405.981007809123
4_19,1.3127020843583543,234464.45634637555
4_20,1.2400146297070833,1599631.7967032979
4_21,1.171444557698966,939112.589079933
4_22,1.1893829581083024,403846.8069932246
4_23,1.0702487604969166,107267.73702512354
4_24,1.081977333472069,8120.009965743656
4_25,0.8840301481319043,1498.3695704824418
4_26,1.2049402344657982,113161.90566319475
5_5,1.4467242153082314,2608216.294340652
5_6,1.4481781136358711,302226.2447021725
5_7,1.158803422521005,472067.35614730086
5_8,1.3830780717760853,193722.41280097043
5_9,0.9936986907562452,49859.4000982884
5_10,1.4557833095470245,659592.5664348778
5_11,1.4617653993999156,606152.3226436558
5_12,1.5038455032925904,551688.0309685982
5_13,1.4355582418172799,203527.7409075377
5_14,1.476541945026363,210440.7513634141
5_15,1.4485451641401832,543104.6807672726
5_16,1.35168839883187,608448.5712840728
5_17,1.47276529269145,498098.963969737
5_18,1.0019359165618122,26482.38483038238
5_19,1.2578034919205594,264685.6807291032
5_20,1.2071449981407882,63310.334175665084
5_21,1.2810330774884164,704726.8000298518
5_22,1.2538165090449613,303621.6909046054
5_23,1.158830524234521,346825.4953782608
5_24,1.089168472477237,57503.83240393862
5_25,0.959103331861165,14432.950999363624
5_26,1.1310901512472755,168729.77499249412
6_6,1.409734449651753,1430268.2551609282
6_7,1.2547856229213965,914335.5055985216
6_8,1.3466728224159106,244212.40363498082
6_9,0.9794361550441752,38112.367063932485
6_10,1.3150788865139462,101345.43765855586
6_11,1.367032824358195,706161.480435285
6_12,1.3873321238065939,321705.31398195913
6_13,1.3676349689316325,250960.932983324
6_14,1.3896961321629346,304686.91690195
6_15,1.3179590220505524,438803.686636469
6_16,1.151184986275921,76398.57019589632
6_17,1.3485669096407287,112615.29674722471
6_18,1.1845111911557749,75235.85867918265
6_19,1.4035015750461202,593767.0336122498
6_20,1.2733401009868328,609516.3092997816
6_21,1.3251014487225785,1006485.5982849519
6_22,1.3084195168527948,694312.8717667528
6_23,1.2279287576972093,381866.3805734461
6_24,1.1123196034012581,45035.67402644889
6_25,1.2041717795055376,8870.764655801633
6_26,1.2136912225944998,508963.6632065133
7_7,1.1839078301046138,2873909.0035621556
7_8,1.2607120685737765,613214.6018790598
7_9,1.0912319545267206,216771.398633259
7_10,1.2214477107143218,702161.6304619475
7_11,1.2304669906043209,645147.4838383928
7_12,1.1581569990025464,532346.5188012129
7_13,1.1850749497003186,398555.977870328
7_14,1.1943221505217192,419448.2937853186
7_15,1.149267709379256,1667067.46606423
7_16,1.0160496135843295,188748.0543611702
7_17,1.197382003477198,619207.5795751263
7_18,1.0890568160041174,65309.74131191595
7_19,1.263169577655063,492665.60927061876
7_20,1.1862201126870424,684066.8116991934
7_21,1.1967191266671913,1020214.9496498505
7_22,1.1535865630061921,276532.6036334325
7_23,0.9869695538986576,237047.63355061563
7_24,1.1658714430724335,63720.846319846445
7_25,0.9671848464059087,16638.909151042633
7_26,1.1261592004023862,289195.9421468414
8_8,1.3760769015965173,1133528.7693637132
8_9,1.1518788674744216,106926.48260003075
8_10,1.1193995770018923,81391.11474668894
8_11,1.4917342446904835,687235.5396255828
8_12,1.435852162203505,617932.8240280095
8_13,1.208031877227126,341784.8844026514
8_14,1.2654282137997055,769935.0972397841
8_15,1.3270871061013834,751276.0831088548
8_16,1.1755979093365394,244982.15524399045
8_17,1.4696900279310794,78775.64232006313
8_18,1.1543049408544033,17305.754292023386
8_19,1.2923068186985895,220269.67370418983
8_20,1.2987435569901284,409850.8017568232
8_21,1.195784660744369,327051.3272202156
8_22,1.2265642193898274,86507.667865889
8_23,1.1112019999090654,33758.556307575214
8_24,0.8612245248242104,7540.225769472881
8_25,1.1776718281060203,43700.75077324661
8_26,1.2083885653853017,61287.60009115213
9_9,1.2326100734621566,732446.9273735349
9_10,0.9535253030067532,81301.43773801484
9_11,1.1120606206505383,23760.133807134654
9_12,1.311316039724181,364884.6770037011
9_13,1.0043389751290162,129313.65860295617
9_14,1.1855553675127406,455046.5643527424
9_15,1.1666755374037934,406775.3553366365
9_16,0.9887257608805995,59812.16654224127
9_17,1.1006709592218604,25199.365129587775
9_18,1.0302855667207063,4994.822054697811
9_19,1.0840190262696845,72442.6029621669
9_20,1.2209691470228912,344970.780382273
9_21,1.212003212968273,494438.0788845673
9_22,1.0626355373345389,40433.05953865605
9_23,0.7488324960698574,33624.830818142524
9_24,0.9430181084546732,28851.500125213544
9_25,1.200212141791207,181710.5409530441
9_26,0.9053463266276648,9197.748192010064
10_10,1.3586704011737996,3118699.428459722
10_11,1.3748323045599362,208586.7464453637
10_12,1.39835981089064,306140.6588595868
10_13,1.2855600113839152,148257.3061176032
10_14,1.2158286399923466,111020.14229714348
10_15,1.4241196422041529,503288.0707059963
10_16,1.2341570398733601,661984.2917741779
10_17,1.4242721516901171,746329.3720700465
10_18,0.8829084010243805,11744.405296342287
10_19,1.2597663773535708,412616.30137679545
10_20,0.9718230293513344,45317.256156123316
10_21,1.1779122050090112,431875.49576322635
10_22,1.0357190967873966,100599.42470142913
10_23,1.2638659633780887,845773.9387223102
10_24,1.3318851275999863,768867.0508358937
10_25,1.0929106073305288,46333.855675019666
10_26,1.0298829988754443,30647.395128462984
11_11,1.3974179982036765,2430241.059693166
11_12,1.4620850072732592,831823.1271752218
11_13,1.3426886116919063,77477.08096654531
11_14,1.4064629490645137,331300.17334249284
11_15,1.36631347626819,1406689.9227009523
11_16,1.1867836880802305,64687.099760343284
11_17,1.3498657232665339,175121.03457520815
11_18,1.1146210918532784,13385.066787458421
11_19,1.3423871287191562,235293.60689536584
11_20,1.3076022294191354,1350694.0014664028
11_21,1.3125715301019687,429921.8191525075
11_22,1.2129446495710405,166796.8995049298
11_23,1.1372752941428754,113239.90031787877
11_24,1.1096343613129356,16436.722113956814
11_25,1.084132229249547,4624.949093999696
11_26,1.244516429497771,81342.0230383203
12_12,1.4071323262902713,3322290.2579808473
12_13,1.2505105466009523,167934.337641948
12_14,1.3382485580535266,1199853.1294471351
12_15,1.2529745272781763,1001543.5127824266
12_16,1.29813319193427,172765.49383939992
12_17,1.36561343996401,339612.1553399578
12_18,1.0386380179394026,25825.70762561903
12_19,1.2936512264212563,406034.95499289955
12_20,1.308739303026667,1190165.058289535
12_21,1.217607656340135,1008155.8942042991
12_22,1.1656223758043815,224001.4926778051
12_23,1.243649419171065,133963.85688351162
12_24,1.1461071098346742,28118.311130593123
12_25,1.2326047671818552,58303.959447068635
12_26,1.1510638888209215,74470.93618841367
13_13,1.3580005756285032,510990.6511532889
13_14,1.2909952695268636,511950.20071412646
13_15,1.1871655596006878,310730.8179644328
13_16,1.242440039950549,272473.63628077187
13_17,1.3456610731253213,134899.86328384464
13_18,1.0197173644638207,20574.038813390423
13_19,1.2294168132012202,250730.08532181502
13_20,1.1292105005281863,65009.82888635315
13_21,1.1362732650092884,309596.52955597325
13_22,1.1712085549023241,160476.01729634876
13_23,1.0724449885888734,184392.26724146775
13_24,1.0663323393317408,26180.114394685377
13_25,0.9169117517086696,60549.27944490002
13_26,1.1299689689462133,142416.85076450568
14_14,1.269405010639325,3617268.3245243984
14_15,1.2240200830592454,869256.3300522779
14_16,1.1923379656445459,235264.8668914979
14_17,1.4394015665592435,113983.69067451387
14_18,1.0171661375471748,22872.204223163157
14_19,1.242526884478331,229620.5276555726
14_20,1.179862279455925,574394.5850953351
14_21,1.1857070882251535,481727.400822169
14_22,1.064649621795122,147630.7683631673
14_23,1.0566387713810463,94622.43382070924
14_24,0.8405037661378808,24835.690292197472
14_25,1.1551064580479846,105079.6233855007
14_26,1.0398119555815082,100549.63129834493
15_15,1.3180677721548038,4712669.349216207
15_16,1.0629089975882466,281471.76164350595
15_17,1.4237521842272014,404169.134762084
15_18,0.9951697007518739,97740.28561323417
15_19,1.2192590899438378,960765.1949189814
15_20,1.208403271775411,1516806.725218801
15_21,1.2427800010098178,1582790.0186743161
15_22,1.0725365965288112,426262.09685805213
15_23,1.1790841515670312,173779.80136420502
15_24,1.2212270919713784,86390.40256719757
15_25,1.0422014820638097,38685.56665058855
15_26,1.046651213528483,275401.5538258484
16_16,1.2127790795279076,1201309.3837355638
16_17,1.1955135792422846,72389.94061360054
16_18,0.9742112350845109,15202.536063766429
16_19,1.0873229523446646,157877.0651509206
16_20,0.8687651996973554,50830.91608115147
16_21,1.0822723434205392,180462.87172710412
16_22,0.9676212465109393,72694.65705089203
16_23,1.210049767504399,727353.4845818711
16_24,1.0414232426264454,93421.64492318188
16_25,0.8602621833210469,29808.08947656247
16_26,0.9620025970687115,71064.25010021597
17_17,1.3334317582121178,2104395.636370274
17_18,1.0560877023511308,2581.0402514379066
17_19,1.3119235832424152,82788.43677511299
17_20,1.0994063419985933,22634.7091036855
17_21,1.2424354934243336,169561.79709745268
17_22,1.238191319036706,34313.37473911332
17_23,1.2384526977036814,77475.52525882146
17_24,1.25565080006777,28582.665359997864
17_25,0.7139562803123567,4367.275404085209
17_26,1.1249725054425488,16504.951177041523
18_18,1.1918292296954898,2347829.782652372
18_19,1.2385566577822704,236417.74631177165
18_20,1.1053088711158485,74366.79588019114
18_21,1.116499587646388,52702.85476893573
18_22,1.3110607900015512,97011.81934291557
18_23,1.0846389211516245,33355.30997495148
18_24,1.079748411664395,12956.061520391731
18_25,1.1558758534907247,10102.005065416424
18_26,1.2258425606981909,681789.6898804192
19_19,1.2960963026947507,313668.89905562106
19_20,1.2808896041303885,448794.0790953374
19_21,1.2697806046937714,288168.3060302031
19_22,1.3103404249511357,124367.87917684909
19_23,1.112158577486052,785094.6627582761
19_24,1.0967706060834266,128987.14514104923
19_25,1.1715013887872352,27849.856094143717
19_26,1.2800394584940544,391076.7378567303
20_20,1.2487439837072276,342103.7185711656
20_21,1.334517299212169,554136.3576910713
20_22,1.3063520298661693,295659.7449943492
20_23,1.1114859720610568,110905.09369824061
20_24,1.045859969638756,14932.481790647631
20_25,1.1722903673329248,52692.52630750945
20_26,1.182625085758813,323005.15491945983
21_21,1.2787244011944452,819647.8822736653
21_22,1.2984534143919324,424769.94994189515
21_23,1.1310964806756645,298661.3825558838
21_24,1.1020406473475692,185160.87198034476
21_25,1.2421213107592124,119959.03554676221
21_26,1.239792577907607,184716.12365196025
22_22,1.3943714412876629,205185.192663581
22_23,1.0946670211888916,204720.28495489538
22_24,1.1665353622182195,127085.73392032602
22_25,1.3695899884054166,51511.65467782201
22_26,1.3350198428159599,340915.5916924619
23_23,1.1365536184172764,1065808.2902960656
23_24,1.0411187069441146,287850.81345105014
23_25,0.9508517628680693,30985.64670263075
23_26,1.207462869887208,134240.93072453013
24_24,1.0783735038052666,325380.13897398143
24_25,1.1881259904641406,19240.254865230887
24_26,1.0224128498131926,53345.05290806512
25_25,1.3849283329266413,45229.80198092322
25_26,1.1865367975096732,12631.838895205943
26_26,1.2360898216366591,468786.8616390274
