Folder,Davies-Bouldin Index,Calinski-Harabasz Index
1_1,1.3157098143399921,3543585.888035778
1_2,1.2240772189803644,361264.8968694905
1_3,1.3720497994508323,1127404.684970849
1_4,1.1951793833660893,1003957.5872706065
1_5,1.2601819931910805,993375.5623000873
1_6,1.2690906267963322,530550.9947298593
1_7,1.2921936866456716,1273357.3849787263
1_8,1.0903958742340327,65203.023004090996
1_9,1.125327287352978,550416.7447815784
1_10,1.0541230057275306,63216.51734579502
1_11,1.223150455632506,1616388.2963486442
1_12,1.1663740800076798,532970.1408279572
1_13,1.188852259181962,1022346.0492972542
1_14,1.1010255342512227,250732.18293443933
1_15,0.9252869293353666,59728.25875941497
1_16,1.0643178460748322,253038.0343334535
2_2,1.2462121019229686,4686806.085715942
2_3,1.3058020214182695,1475827.1985484841
2_4,1.1588728622546247,1816191.0683922316
2_5,1.101119693506846,132205.59528980017
2_6,1.1852694836881827,823256.5539768218
2_7,1.191183964243813,1116013.2823512729
2_8,1.2210928828161887,90275.701813627
2_9,1.3072560743282353,1142342.0620575412
2_10,1.2006957546557293,2000007.6446186053
2_11,1.2261538304840767,2173988.488621801
2_12,1.3107123582672588,1827311.8956598847
2_13,1.18284419419387,899292.7262476519
2_14,1.035011520559565,20860.14308502507
2_15,1.0155027806382957,7225.419523958209
2_16,1.1607384763363258,928216.9996494212
3_3,1.3380451099268542,3518409.223703248
3_4,1.2459618495084004,1340642.161831135
3_5,1.3705204874492047,517950.4594835199
3_6,1.389322378879358,1582789.1612293078
3_7,1.2749401588403309,1823636.3439916996
3_8,1.092575426314278,79946.5046646655
3_9,1.3162846884337316,734292.065602042
3_10,1.2403171472993473,1201098.5684503303
3_11,1.286445249013556,1312643.116456693
3_12,1.2037224350218765,781331.0470950855
3_13,1.1293093739208921,559311.9084969269
3_14,1.0277021596143523,83560.2049828277
3_15,1.1205989119271953,18755.325698561635
3_16,1.1572540643483291,507310.768371518
4_4,1.1874552165627628,3065165.7185650817
4_5,1.0709622274655826,790245.2315968982
4_6,1.174763196322358,1241638.5372741618
4_7,1.1819018838176008,2354673.239520036
