length,span,diameter,radius,surface_area,volume,trunk_volume,curl,elongation,irregularity,irregularity_end,tck_file
21.93450802421355,15.094833,24.38279549331946,13.095588684082031,10242.0,10242.0,1503.0,1.4531136237621838,0.8995895499440699,6.095698873329864,0.052603562019702205,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_46_10.tck
31.284235093060943,23.423494,21.680259670825166,18.484529972076416,11549.0,11549.0,1852.0,1.3355921469405696,1.4429824904339,5.4200649177062905,0.09294420452660893,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_36_4.tck
42.68880841186711,30.08149,21.29216569164266,23.347612380981445,15200.0,15200.0,2608.0,1.4191055373930233,2.0049068295867527,5.323041422910664,0.11266557402761958,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_9_11.tck
4.625471869370749,4.4210463,16.482975519759425,4.921923279762268,987.0,987.0,227.0,1.0462391932740245,0.28062116963201433,4.120743879939856,0.07710852573504652,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_53_10.tck
71.89660523903775,60.831753,18.545896931731814,46.04997539520264,19422.0,19422.0,2484.0,1.1818927115659827,3.876685258399312,4.6364742329329545,0.3430162761825336,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_26_8.tck
40.19995830921408,22.820444,20.236785127883703,17.96370220184326,12930.0,12930.0,1085.0,1.7615765109840693,1.98647947562697,5.059196281970927,0.07840487042915943,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_15_6.tck
39.44511365919605,25.00644,18.89196395166216,19.778789520263672,11057.0,11057.0,936.0,1.5773982584863229,2.0879308133406416,4.72299098791554,0.1111506433615994,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_31_2.tck
12.167949982129729,10.828646,17.052600776977517,9.07018232345581,2779.0,2779.0,354.0,1.1236816045416482,0.7135539112929631,4.263150194244379,0.09300222955426547,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_48_12.tck
33.00849257446213,22.825615,20.807315029199096,18.15924310684204,11224.0,11224.0,2661.0,1.446116246017831,1.586388850658579,5.201828757299774,0.09229914972452245,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_27_1.tck
38.954082396355815,24.651102,20.67359604220023,19.45659112930298,13076.0,13076.0,2422.0,1.5802166690965072,1.8842431823104369,5.168399010550057,0.09095120677141051,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_19_11.tck
72.2655464184167,55.648933,16.92790046398984,42.045470237731934,16264.0,16264.0,2853.0,1.298597151631908,4.269020046056202,4.231975115997458,0.3414765893601388,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_11_0.tck
71.35182875676459,60.8543,17.606677742500317,46.08522319793701,17372.0,17372.0,3127.0,1.1725026342188507,4.052543574676227,4.401669435625079,0.3840815471470136,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_42_7.tck
22.47219848160601,20.921402,14.279835405153033,16.26237201690674,3599.0,3599.0,682.0,1.0741248844476037,1.573701505935893,3.5699588512882587,0.23085315245301086,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_4_1.tck
5.942852199160997,5.390714,21.48228352448099,6.315673828125,2154.0,2154.0,204.0,1.1024239114427157,0.2766396874144494,5.3705708811202495,0.05817596011235894,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_12_11.tck
4.114042830868675,3.9218104,17.810765579835927,4.60326611995697,1025.0,1025.0,225.0,1.0490162509804424,0.23098629940569762,4.452691394958982,0.0649468620418337,/media/UG5/HCP_Parcels/Parcels_7Networks/Population_7Networks/1_1/Cluster_clean_in_yeo_space/cluster_33_7.tck
